date,predicted_value,lower_bound,upper_bound,trend,model_run_date
2017-10-29,20741.380443120368,15764.716513658102,26768.524090532697,11.394900771865029,2025-11-26 22:56:22
2017-10-30,29381.98295198705,21795.844422009515,38382.49002249462,11.387206908837081,2025-11-26 22:56:22
2017-10-31,29317.382036503255,22440.588193951575,38126.704511953794,11.379513045809135,2025-11-26 22:56:22
2017-11-01,27062.981836114217,20478.367407600486,35039.20014894864,11.371819182781186,2025-11-26 22:56:22
2017-11-02,26775.132453172177,20208.689908403187,35673.41788983751,11.36412531975324,2025-11-26 22:56:22
2017-11-03,24678.795900152065,18384.762307987163,32232.985323091976,11.356431456725293,2025-11-26 22:56:22
2017-11-04,19588.41155574459,14897.413840454292,25508.437686967995,11.348737593697345,2025-11-26 22:56:22
2017-11-05,21465.302452029882,16451.54130754459,28463.045147725094,11.3410437306694,2025-11-26 22:56:22
2017-11-06,30538.365394730772,23664.300494580893,40929.02034403372,11.333349867641452,2025-11-26 22:56:22
2017-11-07,30714.724728176483,23458.333968111772,41265.9819004164,11.325656004613503,2025-11-26 22:56:22
2017-11-08,28650.508210752272,21247.392751606032,37177.42668874056,11.317962141585557,2025-11-26 22:56:22
2017-11-09,29545.733287553685,22604.537105483585,39348.52447794056,11.31026827855761,2025-11-26 22:56:22
2017-11-10,26839.189517665898,20290.08240042197,35527.2236218806,11.302574415529664,2025-11-26 22:56:22
2017-11-11,21674.630288080276,16443.483273011592,28684.69897849894,11.294880551433657,2025-11-26 22:56:22
2017-11-12,24168.695042060386,18200.681392544608,32162.45441498759,11.28718668733765,2025-11-26 22:56:22
2017-11-13,34991.256250279504,26816.081962331187,46734.39490863647,11.279492823241641,2025-11-26 22:56:22
2017-11-14,35905.633619879285,27341.12405436127,46967.287998890795,11.271798959145634,2025-11-26 22:56:22
2017-11-15,29079.350620437315,22458.547456261025,38987.78777048297,11.264105095049628,2025-11-26 22:56:22
2017-11-16,35982.47174503269,27180.361306580933,46836.55901471804,11.25641123095362,2025-11-26 22:56:22
2017-11-17,33345.85346690212,25100.063612309314,44279.60630011897,11.248717366857614,2025-11-26 22:56:22
2017-11-18,27449.196933169093,20979.479778729015,36370.311586595686,11.241023502761607,2025-11-26 22:56:22
2017-11-19,31086.255504832712,23331.071636853092,40453.19119786271,11.233329638665602,2025-11-26 22:56:22
2017-11-20,45529.119348139924,34654.32594790588,60401.30592750198,11.225635774569595,2025-11-26 22:56:22
2017-11-21,47181.48072800631,35565.90805830982,61462.10290809324,11.217941910473584,2025-11-26 22:56:22
2017-11-22,45219.14539152945,34171.128043233984,58364.38703881435,11.210248046382928,2025-11-26 22:56:22
2017-11-23,47647.803457940994,35265.57326707797,62378.50482868163,11.202554182292271,2025-11-26 22:56:22
2017-11-24,44031.277653258265,33600.3534495684,57821.06631675412,11.194860318201613,2025-11-26 22:56:22
2017-11-25,35976.44090848442,26998.724002405364,47112.27750136636,11.187166454110956,2025-11-26 22:56:22
2017-11-26,40162.803727091785,30661.06857792132,52186.457415776145,11.179472590020298,2025-11-26 22:56:22
2017-11-27,57597.13104080901,43868.64832886357,75515.68586760033,11.171778725929641,2025-11-26 22:56:22
2017-11-28,58224.61482585354,44896.48741665876,76568.13021029388,11.164084861838985,2025-11-26 22:56:22
2017-11-29,54171.49831718292,41690.476023329,71371.4143816727,11.156390997748327,2025-11-26 22:56:22
2017-11-30,55115.61757078878,41722.975216649334,73309.59860934247,11.14869713365767,2025-11-26 22:56:22
2017-12-01,48991.22534717091,36899.21040578173,64293.73707865087,11.141003269567014,2025-11-26 22:56:22
2017-12-02,38377.94789491648,28592.387869408332,49271.796372923745,11.133309405476355,2025-11-26 22:56:22
2017-12-03,40885.81955097961,30713.112849009976,54513.50915355951,11.125615541385699,2025-11-26 22:56:22
2017-12-04,55756.38615457579,43040.77537357893,73742.02075458324,11.117921676789985,2025-11-26 22:56:22
2017-12-05,53610.882119235,41056.03373634756,71085.69532830056,11.110227812194271,2025-11-26 22:56:22
2017-12-06,47439.5274969698,36203.57139197504,62193.943553555146,11.102533947598557,2025-11-26 22:56:22
